date,flow_cfs
1999-09-20,45
1999-09-21,45
1999-09-22,45
1999-09-23,45
1999-09-24,45
1999-09-25,45
1999-09-26,45
1999-09-27,45
1999-09-28,45
1999-09-29,45
1999-09-30,45
1999-10-01,45
1999-10-02,45
1999-10-03,45
1999-10-04,75
1999-10-05,135
1999-10-06,135
1999-10-07,135
1999-10-08,135
1999-10-09,135
1999-10-10,135
1999-10-11,135
1999-10-12,135
1999-10-13,135
1999-10-14,135
1999-10-15,135
1999-10-16,135
1999-10-17,135
1999-10-18,133
1999-10-19,130
1999-10-20,128
1999-10-21,128
1999-10-22,126
1999-10-23,126
1999-10-24,125
1999-10-25,122
1999-10-26,120
1999-10-27,115
1999-10-28,114
1999-10-29,108
1999-10-30,106
1999-10-31,105
1999-11-01,104
1999-11-02,104
1999-11-03,104
1999-11-04,104
1999-11-05,104
1999-11-06,104
1999-11-07,104
1999-11-08,104
1999-11-09,104
1999-11-10,104
1999-11-11,104
1999-11-12,104
1999-11-13,104
1999-11-14,104
1999-11-15,104
1999-11-16,104
1999-11-17,104
1999-11-18,103
1999-11-19,103
1999-11-20,103
1999-11-21,102
1999-11-22,102
1999-11-23,102
1999-11-24,101
1999-11-25,101
1999-11-26,101
1999-11-27,101
1999-11-28,101
1999-11-29,101
1999-11-30,101
1999-12-01,101
1999-12-02,101
1999-12-03,101
1999-12-04,101
1999-12-05,101
1999-12-06,100
1999-12-07,100
1999-12-08,99
1999-12-09,99
1999-12-10,99
1999-12-11,99
1999-12-12,99
1999-12-13,99
1999-12-14,99
1999-12-15,99
1999-12-16,99
1999-12-17,99
1999-12-18,99
1999-12-19,99
1999-12-20,99
1999-12-21,99
1999-12-22,99
1999-12-23,99
1999-12-24,99
1999-12-25,99
1999-12-26,99
1999-12-27,99
1999-12-28,99
1999-12-29,99
1999-12-30,99
1999-12-31,99
