sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
25365,2039-03-12,2039,3,12,294,87,22,554,82,3021,1313,4666
25366,2039-03-13,2039,3,13,300,82,18,379,80,3002,1172,4233
25367,2039-03-14,2039,3,14,312,79,28,282,102,3018,1136,4075
25368,2039-03-15,2039,3,15,303,84,46,2352,147,3738,3292,5479
25369,2039-03-16,2039,3,16,328,84,24,1346,126,6288,3181,7512
25370,2039-03-17,2039,3,17,417,113,21,627,109,11068,1881,10316
25371,2039-03-18,2039,3,18,490,151,19,409,101,10797,1432,13688
25372,2039-03-19,2039,3,19,523,173,18,310,93,9076,1293,12315
25373,2039-03-20,2039,3,20,452,160,17,275,87,6576,1169,10142
25374,2039-03-21,2039,3,21,435,155,22,247,105,5757,1208,8547
25375,2039-03-22,2039,3,22,554,199,25,427,116,5581,1573,8173
25376,2039-03-23,2039,3,23,537,197,19,411,104,5357,1596,7814
25377,2039-03-24,2039,3,24,447,174,17,297,99,5547,1365,7628
25378,2039-03-25,2039,3,25,428,161,15,241,93,5488,1208,7267
25379,2039-03-26,2039,3,26,417,158,15,218,90,4910,1104,6750
25380,2039-03-27,2039,3,27,390,146,14,195,84,4493,1069,6222
25381,2039-03-28,2039,3,28,380,138,14,183,80,4170,1009,5772
25382,2039-03-29,2039,3,29,366,131,14,168,79,4018,961,5311
25383,2039-03-30,2039,3,30,359,122,13,156,74,3799,868,5027
25384,2039-03-31,2039,3,31,345,117,13,147,68,3650,810,4780
25385,2039-04-01,2039,4,1,341,112,16,149,81,3457,856,4519
25386,2039-04-02,2039,4,2,349,121,18,249,85,3510,1114,4655
25387,2039-04-03,2039,4,3,336,112,13,182,75,3446,1029,4593
25388,2039-04-04,2039,4,4,317,102,14,148,79,3349,886,4366
25389,2039-04-05,2039,4,5,317,107,19,207,83,3349,1092,4593
25390,2039-04-06,2039,4,6,319,109,14,217,79,3443,1268,4582
25391,2039-04-07,2039,4,7,284,93,13,161,73,3456,976,4582
25392,2039-04-08,2039,4,8,265,85,12,139,67,3348,814,4340
25393,2039-04-09,2039,4,9,253,82,13,131,66,3100,741,4161
25394,2039-04-10,2039,4,10,1391,944,16,217,77,3197,2629,4214
25395,2039-04-11,2039,4,11,612,300,19,177,84,5745,2590,5414
25396,2039-04-12,2039,4,12,1445,847,22,293,89,10236,4940,10591
25397,2039-04-13,2039,4,13,704,391,14,221,80,12969,3404,15011
25398,2039-04-14,2039,4,14,498,211,13,168,75,12504,1712,16472
25399,2039-04-15,2039,4,15,376,135,12,145,73,7673,1148,12911
25400,2039-04-16,2039,4,16,623,225,12,138,72,4474,1051,9811
25401,2039-04-17,2039,4,17,497,188,11,131,65,3774,1076,7332
25402,2039-04-18,2039,4,18,400,128,10,123,63,3444,956,5471
25403,2039-04-19,2039,4,19,404,127,10,115,59,3766,890,4977
25404,2039-04-20,2039,4,20,422,144,9,104,58,3733,857,3937
25405,2039-04-21,2039,4,21,385,124,10,94,57,3435,869,3954
25406,2039-04-22,2039,4,22,413,129,9,94,56,3377,995,3899
25407,2039-04-23,2039,4,23,412,127,12,94,57,3444,1275,4525
25408,2039-04-24,2039,4,24,737,340,10,101,55,3678,1132,4977
25409,2039-04-25,2039,4,25,694,333,9,118,55,3716,1120,5018
25410,2039-04-26,2039,4,26,509,203,8,102,51,3802,991,4956
25411,2039-04-27,2039,4,27,401,146,8,93,49,4029,867,5130
25412,2039-04-28,2039,4,28,344,112,8,79,47,3867,753,5394
25413,2039-04-29,2039,4,29,319,97,7,66,44,3396,701,5130
25414,2039-04-30,2039,4,30,281,86,7,51,43,3100,649,4679
25415,2039-05-01,2039,5,1,257,80,6,48,41,2893,611,4192
25416,2039-05-02,2039,5,2,248,76,6,41,40,2775,586,3728
25417,2039-05-03,2039,5,3,238,68,5,37,37,2674,557,3244
25418,2039-05-04,2039,5,4,223,63,5,34,36,2482,527,2791
25419,2039-05-05,2039,5,5,213,59,5,24,33,2263,508,2682
25420,2039-05-06,2039,5,6,199,55,5,16,33,2146,488,2624
25421,2039-05-07,2039,5,7,188,51,5,16,31,2024,476,2494
25422,2039-05-08,2039,5,8,216,70,18,72,41,2023,704,2518
25423,2039-05-09,2039,5,9,219,73,9,89,37,2017,669,2849
25424,2039-05-10,2039,5,10,188,59,5,69,33,2081,551,2676
25425,2039-05-11,2039,5,11,161,51,5,50,30,2177,489,2673
25426,2039-05-12,2039,5,12,144,46,5,37,30,2081,463,2592
25427,2039-05-13,2039,5,13,135,41,5,25,28,1990,453,2569
25428,2039-05-14,2039,5,14,148,47,3,24,27,1902,494,2420
25429,2039-05-15,2039,5,15,143,43,3,18,23,1795,459,2391
25430,2039-05-16,2039,5,16,129,40,3,18,21,1707,428,2239
25431,2039-05-17,2039,5,17,118,37,3,16,20,1642,400,2083
25432,2039-05-18,2039,5,18,111,33,3,16,19,1582,389,1956
25433,2039-05-19,2039,5,19,107,29,3,16,17,1534,358,1888
25434,2039-05-20,2039,5,20,105,28,3,10,17,1491,323,1813
25435,2039-05-21,2039,5,21,101,26,3,10,16,1452,302,1758
25436,2039-05-22,2039,5,22,94,25,3,2,16,1399,261,1700
25437,2039-05-23,2039,5,23,146,43,18,91,43,1443,446,2058
25438,2039-05-24,2039,5,24,152,43,10,93,43,1488,450,1939
25439,2039-05-25,2039,5,25,131,37,11,82,44,1457,434,2004
25440,2039-05-26,2039,5,26,120,33,6,65,39,1403,409,1868
25441,2039-05-27,2039,5,27,105,29,5,52,35,1343,345,1769
25442,2039-05-28,2039,5,28,94,26,5,42,30,1292,318,1668
25443,2039-05-29,2039,5,29,89,23,5,35,28,1244,290,1612
25444,2039-05-30,2039,5,30,82,21,5,28,26,1197,276,1549
25445,2039-05-31,2039,5,31,69,18,5,20,25,1166,257,1477
25446,2039-06-01,2039,6,1,69,18,5,14,23,1168,257,1463
25447,2039-06-02,2039,6,2,64,15,3,13,23,1118,242,1359
25448,2039-06-03,2039,6,3,64,15,3,12,22,1094,275,1297
25449,2039-06-04,2039,6,4,64,15,3,13,21,1143,327,1302
25450,2039-06-05,2039,6,5,62,15,3,12,20,1134,290,1341
25451,2039-06-06,2039,6,6,62,14,3,12,17,1092,264,1327
25452,2039-06-07,2039,6,7,51,13,4,11,16,1048,243,1276
25453,2039-06-08,2039,6,8,47,11,4,11,15,966,232,1218
25454,2039-06-09,2039,6,9,45,11,3,11,15,927,214,1164
25455,2039-06-10,2039,6,10,45,10,3,10,14,885,206,1098
25456,2039-06-11,2039,6,11,45,7,3,10,13,852,203,1056
25457,2039-06-12,2039,6,12,43,7,2,10,13,830,191,1023
25458,2039-06-13,2039,6,13,41,7,2,10,12,809,190,986
25459,2039-06-14,2039,6,14,39,6,4,10,20,785,207,1012
25460,2039-06-15,2039,6,15,39,6,7,38,21,781,217,1077
25461,2039-06-16,2039,6,16,22,6,3,31,15,736,215,995
25462,2039-06-17,2039,6,17,41,6,3,25,15,705,214,936
25463,2039-06-18,2039,6,18,58,9,3,16,15,734,228,896
25464,2039-06-19,2039,6,19,64,10,3,10,14,739,220,888
25465,2039-06-20,2039,6,20,58,10,10,7,23,739,214,961
25466,2039-06-21,2039,6,21,54,9,11,25,35,743,210,1059
25467,2039-06-22,2039,6,22,50,8,4,36,21,727,203,996
25468,2039-06-23,2039,6,23,47,6,4,28,18,703,196,949
25469,2039-06-24,2039,6,24,43,6,3,18,16,678,190,908
25470,2039-06-25,2039,6,25,41,6,3,14,15,664,164,867
25471,2039-06-26,2039,6,26,36,5,3,7,14,653,148,820
25472,2039-06-27,2039,6,27,26,4,3,7,13,630,129,774
25473,2039-06-28,2039,6,28,26,3,3,6,13,601,107,722
25474,2039-06-29,2039,6,29,26,3,3,7,12,591,110,700
25475,2039-06-30,2039,6,30,47,6,3,18,11,584,117,721
25476,2039-07-01,2039,7,1,51,8,4,14,12,552,107,712
25477,2039-07-02,2039,7,2,47,9,6,10,12,524,107,688
25478,2039-07-03,2039,7,3,45,9,7,9,13,507,175,674
25479,2039-07-04,2039,7,4,43,7,3,9,11,501,196,637
25480,2039-07-05,2039,7,5,36,6,3,8,8,486,170,629
25481,2039-07-06,2039,7,6,26,6,3,8,9,469,148,621
25482,2039-07-07,2039,7,7,26,5,1,0,8,459,116,731
25483,2039-07-08,2039,7,8,24,4,1,0,8,446,108,731
25484,2039-07-09,2039,7,9,26,4,1,0,7,431,103,731
25485,2039-07-10,2039,7,10,26,2,1,0,7,415,100,533
25486,2039-07-11,2039,7,11,26,2,1,0,7,395,97,505
25487,2039-07-12,2039,7,12,28,2,1,0,7,384,91,484
25488,2039-07-13,2039,7,13,26,3,1,14,7,371,90,482
25489,2039-07-14,2039,7,14,24,3,1,10,7,361,90,464
25490,2039-07-15,2039,7,15,24,3,1,8,7,345,86,442
25491,2039-07-16,2039,7,16,24,2,1,6,5,337,73,426
25492,2039-07-17,2039,7,17,14,2,1,6,5,325,71,414
25493,2039-07-18,2039,7,18,24,2,1,0,4,318,68,406
25494,2039-07-19,2039,7,19,24,2,1,13,4,312,68,397
25495,2039-07-20,2039,7,20,13,2,1,22,4,317,72,403
25496,2039-07-21,2039,7,21,12,2,1,16,4,311,71,400
