sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
25203,1998-10-01,1998,10,1,54,6,1,3,4,534,106,639
25204,1998-10-02,1998,10,2,51,5,1,4,4,555,106,593
25205,1998-10-03,1998,10,3,47,5,1,4,5,555,105,590
25206,1998-10-04,1998,10,4,47,5,1,4,5,550,116,611
25207,1998-10-05,1998,10,5,49,6,1,4,6,623,115,636
25208,1998-10-06,1998,10,6,47,5,1,4,6,614,112,670
25209,1998-10-07,1998,10,7,45,5,1,4,6,623,109,687
25210,1998-10-08,1998,10,8,43,5,15,14,27,641,131,892
25211,1998-10-09,1998,10,9,43,5,6,29,21,710,207,915
25212,1998-10-10,1998,10,10,45,5,3,38,13,710,178,920
25213,1998-10-11,1998,10,11,45,5,2,26,11,701,149,893
25214,1998-10-12,1998,10,12,45,5,2,19,10,680,133,886
25215,1998-10-13,1998,10,13,43,5,2,11,8,654,125,873
25216,1998-10-14,1998,10,14,43,5,2,9,8,635,118,855
25217,1998-10-15,1998,10,15,41,4,2,7,8,615,116,842
25218,1998-10-16,1998,10,16,40,4,2,4,8,538,110,805
25219,1998-10-17,1998,10,17,39,4,2,2,8,518,107,738
25220,1998-10-18,1998,10,18,38,4,2,2,8,507,106,738
25221,1998-10-19,1998,10,19,36,4,2,2,8,503,104,585
25222,1998-10-20,1998,10,20,34,4,2,2,10,498,97,566
25223,1998-10-21,1998,10,21,30,4,2,4,10,483,97,552
25224,1998-10-22,1998,10,22,36,4,2,4,10,478,96,553
25225,1998-10-23,1998,10,23,38,4,2,4,5,480,94,546
25226,1998-10-24,1998,10,24,36,4,2,2,5,477,94,542
25227,1998-10-25,1998,10,25,30,3,2,2,5,481,94,538
25228,1998-10-26,1998,10,26,28,3,2,3,6,473,93,536
25229,1998-10-27,1998,10,27,26,3,2,3,6,462,93,530
25230,1998-10-28,1998,10,28,26,3,2,3,6,449,93,533
25231,1998-10-29,1998,10,29,24,3,2,4,6,444,92,535
25232,1998-10-30,1998,10,30,24,3,2,4,6,436,92,525
25233,1998-10-31,1998,10,31,24,3,2,4,7,436,72,518
25234,1998-11-01,1998,11,1,24,3,2,4,7,435,70,506
25235,1998-11-02,1998,11,2,24,3,2,11,4,430,68,504
25236,1998-11-03,1998,11,3,24,3,2,15,4,426,66,503
25237,1998-11-04,1998,11,4,28,3,2,44,4,424,68,504
25238,1998-11-05,1998,11,5,34,3,1,38,5,421,68,498
25239,1998-11-06,1998,11,6,34,3,1,34,5,421,69,494
25240,1998-11-07,1998,11,7,32,3,1,32,5,424,68,489
25241,1998-11-08,1998,11,8,32,3,1,22,5,420,68,481
25242,1998-11-09,1998,11,9,30,3,1,19,5,411,68,478
25243,1998-11-10,1998,11,10,30,3,1,19,6,404,69,476
25244,1998-11-11,1998,11,11,28,3,6,38,19,428,128,571
25245,1998-11-12,1998,11,12,30,3,4,36,12,443,134,557
25246,1998-11-13,1998,11,13,30,3,3,33,10,442,133,539
25247,1998-11-14,1998,11,14,28,3,3,31,10,440,132,517
25248,1998-11-15,1998,11,15,28,3,3,27,10,439,130,508
25249,1998-11-16,1998,11,16,28,3,1,22,10,434,128,500
