sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat,
62,1929-12-01,1929,12,1,133.04,38.36,5.9,218.2,36.95,3978.78,448.12,4779,4880
63,1929-12-02,1929,12,2,133.04,38.36,6.23,229.9,36.95,3268.02,448.12,4621,4685
64,1929-12-03,1929,12,3,133.04,38.36,6.89,242.13,36.95,3197.22,448.12,4427,4472
65,1929-12-04,1929,12,4,133.04,38.36,6.23,206.53,36.95,3109.64,448.12,3716,3768
66,1929-12-05,1929,12,5,133.04,38.36,6.89,194.88,44.34,3381.19,448.12,3645,3681
67,1929-12-06,1929,12,6,133.04,56.65,7.54,183.27,49.71,3515,714,3824,3850
68,1929-12-07,1929,12,7,189.27,80.26,7.87,172.19,55.08,3666.34,814.08,4195,4206
69,1929-12-08,1929,12,8,604.71,136.91,7.87,172.19,53.74,3684.49,1032.17,4547,4569
70,1929-12-09,1929,12,9,500.09,118.02,7.54,172.19,51.05,3693.58,1068.02,4734,4753
71,1929-12-10,1929,12,10,357.38,103.27,7.21,150.6,47.02,3564.32,896.24,4581,4590
72,1929-12-11,1929,12,11,318.68,94.42,6.89,150.6,47.02,3822.85,775.24,4469,4469
73,1929-12-12,1929,12,12,302.96,81.44,6.56,150.6,46.35,3687.48,714,4278,4278
74,1929-12-13,1929,12,13,488.6,240.77,8.85,161.13,49.71,3402.71,752.84,4576,4570
75,1929-12-14,1929,12,14,949.39,469.14,10.16,161.13,69.19,3335.44,1215.89,4903,4871
76,1929-12-15,1929,12,15,810.31,384.76,8.53,161.13,59.79,3826.02,1290.58,4693,4503
77,1929-12-16,1929,12,16,578.7,268.5,8.53,150.6,53.07,5623.7,1132.25,4468,4325
78,1929-12-17,1929,12,17,455.34,189.43,7.87,150.6,49.71,5591.02,929.1,4755,4691
79,1929-12-18,1929,12,18,401.53,148.71,7.87,161.13,51.05,4996.75,912.67,6536,6646
80,1929-12-19,1929,12,19,440.83,156.38,8.53,172.19,62.47,4642.19,1481.78,7073,7151
81,1929-12-20,1929,12,20,458.97,138.68,6.56,161.13,61.8,4307.05,1583.35,6580,6491
82,1929-12-21,1929,12,21,181.41,105.04,4.59,140.09,48.37,4036.82,1015.73,5658,5323
83,1929-12-22,1929,12,22,181.41,59.01,4.59,140.09,43.66,3997.54,597.49,4905,4634
84,1929-12-23,1929,12,23,181.41,59.01,4.92,140.09,43.66,4119.74,597.49,4634,4595
85,1929-12-24,1929,12,24,181.41,59.01,4.92,140.09,43.66,3946.89,597.49,4595,4853
86,1929-12-25,1929,12,25,181.41,59.01,4.92,161.13,43.66,3771.7,597.49,4717,4932
87,1929-12-26,1929,12,26,181.41,59.01,4.92,183.27,43.66,3658.14,597.49,4544,4628
88,1929-12-27,1929,12,27,181.41,68.45,6.89,183.27,43.66,3746.07,782.71,4554,4570
89,1929-12-28,1929,12,28,403.94,119.79,9.18,195.35,55.08,3865,991.84,4650,4738
90,1929-12-29,1929,12,29,558.75,177.62,10.49,560.17,97.41,5031.11,2285.4,6031,6150
91,1929-12-30,1929,12,30,401.53,164.05,11.15,463.74,81.28,9648.22,2419.84,6285,6404
92,1929-12-31,1929,12,31,357.38,146.35,11.15,370.22,75.24,11328.65,2300.34,7331,7347
93,1930-01-01,1930,1,1,350.73,136.91,9.51,324.15,73.89,9971.38,2379.15,12027,12028
94,1930-01-02,1930,1,2,448.09,164.05,11.15,236.71,71.21,8417.08,1901.19,13230,13230
95,1930-01-03,1930,1,3,519.44,218.34,11.15,236.71,67.85,7353.16,1837.47,11809,11806
96,1930-01-04,1930,1,4,477.72,189.43,8.85,229.9,62.47,6606.16,1646.29,10063,9970
97,1930-01-05,1930,1,5,334.4,148.71,8.2,194.88,55.08,6048.5,1251.18,8604,8440
98,1930-01-06,1930,1,6,324.73,123.92,8.53,194.88,53.07,5628.6,1103.54,7710,7605
99,1930-01-07,1930,1,7,318.68,105.04,8.2,194.88,53.74,5026.42,1070.62,7119,7126
100,1930-01-08,1930,1,8,296.31,95.6,8.2,194.88,53.74,4616.64,1097.17,6726,6809
101,1930-01-09,1930,1,9,309.01,88.52,7.87,183.27,53.07,4273.63,1083.36,6110,6095
102,1930-01-10,1930,1,10,305.98,77.31,7.54,183.27,51.73,4213.8,1044.06,5661,5583
103,1930-01-11,1930,1,11,266.07,64.91,6.56,161.13,47.7,3869.02,944.22,5218,5159
104,1930-01-12,1930,1,12,252.16,62.55,7.21,172.19,46.35,3706.87,879.44,5093,5137
105,1930-01-13,1930,1,13,272.12,68.45,7.54,172.19,48.37,3665.21,962.28,4831,4928
106,1930-01-14,1930,1,14,244.3,66.09,11.48,183.27,56.43,3314.29,1391.38,5098,5180
107,1930-01-15,1930,1,15,229.18,64.91,9.84,236.71,79.94,3835.46,2570.33,6236,6267
108,1930-01-16,1930,1,16,210.44,60.19,8.53,206.53,63.82,3978.2,1794.98,5109,5127
109,1930-01-17,1930,1,17,174.76,53.11,8.2,194.88,55.08,3623.64,1391.38,5227,5241
110,1930-01-18,1930,1,18,168.71,29.51,4.92,194.88,40.31,3521.98,1117.35,5096,5116
111,1930-01-19,1930,1,19,104.01,29.51,4.92,120.15,40.31,3284.15,796.59,4420,4448
112,1930-01-20,1930,1,20,66.52,29.51,4.92,101.28,40.31,2761.04,584.17,4106,4121
113,1930-01-21,1930,1,21,66.52,29.51,4.92,101.28,40.31,2418.9,520.44,3805,3812
114,1930-01-22,1930,1,22,66.52,29.51,4.92,194.88,40.31,2694.28,531.06,3292,3300
115,1930-01-23,1930,1,23,66.52,29.51,4.92,183.27,40.31,2863.97,545.93,2965,2989
116,1930-01-24,1930,1,24,66.52,29.51,4.92,183.27,40.31,2572.78,507.69,3202,3230
117,1930-01-25,1930,1,25,66.52,29.51,4.92,183.27,40.31,2663.72,533.18,3397,3430
118,1930-01-26,1930,1,26,66.52,29.51,4.92,161.13,40.31,2707.67,528.94,3102,3148
119,1930-01-27,1930,1,27,66.52,29.51,4.92,161.13,40.31,2974.41,533.18,3197,3241
120,1930-01-28,1930,1,28,66.52,29.51,4.92,161.13,40.31,2618.51,537.43,3245,3280
121,1930-01-29,1930,1,29,66.52,29.51,4.92,161.13,40.31,2683.14,541.68,3516,3529
122,1930-01-30,1930,1,30,66.52,29.51,4.92,140.09,40.31,2592.65,524.69,3143,3144
123,1930-01-31,1930,1,31,66.52,29.51,4.92,206.53,40.31,2353.52,516.19,3199,3200
124,1930-02-01,1930,2,1,78.61,35.41,5.9,195.35,47.02,2314.74,696.75,3289,3290
125,1930-02-02,1930,2,2,95.54,37.77,7.21,216.04,47.02,2463.39,701,3055,3055
126,1930-02-03,1930,2,3,101.59,44.26,11.15,216.04,47.02,2844.72,731.8,3047,3047
127,1930-02-04,1930,2,4,163.27,58.42,19.35,1156.17,116.89,3394.09,1609.11,4073,4073
128,1930-02-05,1930,2,5,519.44,194.74,34.1,2543.1,373.5,6496.41,5533.64,8378,8379
129,1930-02-06,1930,2,6,324.73,177.62,20.66,1322.56,181.38,13541.26,5692.96,9087,9088
130,1930-02-07,1930,2,7,244.3,141.04,15.41,1044.56,108.15,13535.26,2721.15,9218,9218
131,1930-02-08,1930,2,8,257.61,95.6,14.43,511.19,94.05,10485.15,2160.35,15702,15696
132,1930-02-09,1930,2,9,206.21,71.99,12.79,370.22,83.97,8529.59,1867.21,15402,15391
133,1930-02-10,1930,2,10,287.24,59.01,13.44,279.64,90.02,7265.69,1792.86,12278,12262
134,1930-02-11,1930,2,11,244.3,64.91,13.12,236.71,91.36,6167.23,1746.12,10276,10240
135,1930-02-12,1930,2,12,234.02,81.44,12.13,195.35,76.58,5337.44,1518.83,8785,8592
136,1930-02-13,1930,2,13,357.38,108.58,29.51,236.71,165.25,5011.44,2022.28,8190,8071
137,1930-02-14,1930,2,14,462.6,130.42,25.25,279.64,248.55,5131.77,3694.05,9031,8978
138,1930-02-15,1930,2,15,341.05,118.02,15.08,216.04,137.04,5206.48,2360.03,7371,7492
139,1930-02-16,1930,2,16,181.41,64.91,11.8,183.27,103.45,5219.52,1694.08,6826,6901
140,1930-02-17,1930,2,17,181.41,64.91,11.48,218.2,98.75,4839.93,1574.06,6781,6794
141,1930-02-18,1930,2,18,181.41,64.91,11.15,216.04,102.11,4174.73,1527.33,6747,6762
142,1930-02-19,1930,2,19,287.24,78.49,12.46,229.9,98.75,4264.08,1676.02,6516,6504
143,1930-02-20,1930,2,20,331.38,81.44,11.15,218.2,91.36,4040.22,1736.57,5911,5872
144,1930-02-21,1930,2,21,364.03,95.6,11.15,206.53,82.63,3992.35,1587.87,5852,5758
145,1930-02-22,1930,2,22,324.73,96.78,10.16,183.27,77.92,3936.3,1348.89,5389,5342
146,1930-02-23,1930,2,23,302.96,100.32,10.49,183.27,75.24,4051.86,1237.37,5230,5304
147,1930-02-24,1930,2,24,327.75,103.27,10.16,183.27,73.89,3993.51,1246.93,5183,5299
148,1930-02-25,1930,2,25,665.18,148.71,10.16,183.27,72.55,3708.11,1271.36,5323,5395
149,1930-02-26,1930,2,26,578.7,174.67,10.49,172.19,72.55,4156.75,1329.77,5323,5284
150,1930-02-27,1930,2,27,578.7,186.48,9.84,150.6,81.28,5003.41,2298.43,6007,5952
151,1930-02-28,1930,2,28,451.72,172.31,8.85,140.09,69.19,5249.81,1659.03,5816,5745
152,1930-03-01,1930,3,1,391.25,151.07,8.53,120.15,65.83,4723.01,1355.26,5932,5932
153,1930-03-02,1930,3,2,364.03,136.91,8.2,140.09,65.83,4732.54,1277.73,5687,5688
154,1930-03-03,1930,3,3,296.31,70.81,7.87,140.09,59.79,4207.5,1178.95,5271,5271
155,1930-03-04,1930,3,4,293.28,70.81,7.21,120.15,58.44,3703.01,1017.51,4957,4958
156,1930-03-05,1930,3,5,269.09,70.81,6.56,120.15,58.44,3339.56,961.22,4498,4498
157,1930-03-06,1930,3,6,315.05,96.78,7.54,130.11,60.46,3280.04,959.09,4065,4065
158,1930-03-07,1930,3,7,398.5,122.15,9.51,242.13,98.08,3628.31,959.09,4263,4263
159,1930-03-08,1930,3,8,578.7,180.58,40,3461.01,598.54,9332.89,12055.06,17567,17568
160,1930-03-09,1930,3,9,558.75,174.67,18.03,1448.52,171.97,16721.9,6818.81,21808,21809
161,1930-03-10,1930,3,10,538.79,189.43,14.75,706.53,118.23,15682.57,3033.41,18363,18364
162,1930-03-11,1930,3,11,640.99,218.34,15.74,609.06,111.51,12957.09,2566.08,15221,15221
163,1930-03-12,1930,3,12,616.8,224.24,15.08,511.19,133.01,10873.97,2810.37,13405,13405
164,1930-03-13,1930,3,13,519.44,197.69,12.79,370.22,100.09,9787.67,2234.7,11779,11779
165,1930-03-14,1930,3,14,683.32,209.49,11.48,324.15,88.67,8678.41,1886.32,10473,10474
166,1930-03-15,1930,3,15,538.79,183.53,11.15,236.71,79.94,7666.37,1648.41,9388,9389
167,1930-03-16,1930,3,16,455.34,151.07,10.82,195.35,77.92,6821.6,1476.35,8344,8345
168,1930-03-17,1930,3,17,437.2,130.42,11.15,195.35,76.58,6335.83,1412.62,7526,7527
169,1930-03-18,1930,3,18,448.09,119.79,10.49,229.9,75.24,5718.27,1378.63,6940,6940
170,1930-03-19,1930,3,19,1360.59,141.04,11.8,218.2,85.31,5721.96,1877.83,7166,7166
171,1930-03-20,1930,3,20,780.07,119.79,10.49,218.2,73.89,5413.5,1703.64,6805,6806
172,1930-03-21,1930,3,21,538.79,108.58,9.84,194.88,69.19,6008.91,1314.9,7133,7134
173,1930-03-22,1930,3,22,422.69,94.42,9.18,194.88,64.49,5916.55,1203.38,6929,6930
174,1930-03-23,1930,3,23,347.71,83.8,9.51,183.27,63.82,5184.73,1087.61,6000,6000
175,1930-03-24,1930,3,24,321.7,77.31,9.18,161.13,62.47,4706.23,1068.49,5519,5520
176,1930-03-25,1930,3,25,299.33,71.99,10.49,172.19,78.6,3877.85,1066.37,5092,5092
177,1930-03-26,1930,3,26,299.33,67.27,11.15,183.27,96.06,3896.36,1207.63,5355,5356
178,1930-03-27,1930,3,27,263.05,57.24,9.18,183.27,73.89,3999.13,1193.82,5185,5186
179,1930-03-28,1930,3,28,229.18,50.75,8.85,161.13,67.18,4327.3,986.71,4947,4948
180,1930-03-29,1930,3,29,249.74,49.57,8.85,150.6,64.49,4095.63,916.61,4391,4392
181,1930-03-30,1930,3,30,252.16,47.8,8.85,150.6,63.82,3919.9,868.81,4396,4397
182,1930-03-31,1930,3,31,224.95,43.67,8.53,140.09,61.8,3593.63,834.83,4119,4120
183,1930-04-01,1930,4,1,204.39,41.31,8.2,120.15,59.79,3356.73,801.9,3795,3796
184,1930-04-02,1930,4,2,348.31,57.24,7.87,101.28,58.44,3382.97,770.04,3980,3980
185,1930-04-03,1930,4,3,398.5,61.37,8.2,101.28,59.79,3167.84,756.23,3976,3976
186,1930-04-04,1930,4,4,426.32,64.91,8.53,161.13,64.49,3067.47,775.35,3860,3860
187,1930-04-05,1930,4,5,327.75,62.55,7.87,140.09,59.79,3197.04,726.49,3780,3780
188,1930-04-06,1930,4,6,309.01,71.99,48.86,130.11,193.47,3704.94,1074.87,4494,4495
189,1930-04-07,1930,4,7,616.8,134.55,36.72,2340.73,678.48,5409.7,7094.96,11421,11422
190,1930-04-08,1930,4,8,707.51,224.24,21.64,706.53,185.41,7384.55,2810.37,10855,10856
191,1930-04-09,1930,4,9,683.32,218.34,19.35,370.22,123.6,7773.22,1886.32,9596,9596
192,1930-04-10,1930,4,10,578.7,200.64,17.38,279.64,103.45,7885.27,1582.56,10080,10080
193,1930-04-11,1930,4,11,481.35,172.31,15.08,236.71,94.05,6985.51,1446.61,10018,10019
194,1930-04-12,1930,4,12,401.53,134.55,14.43,195.35,88.67,6236.22,1331.9,9938,9939
195,1930-04-13,1930,4,13,347.71,106.81,13.77,229.9,85.31,5580.75,1263.92,6713,6713
196,1930-04-14,1930,4,14,305.98,92.65,13.77,218.2,81.28,4857.37,1181.08,6416,6417
197,1930-04-15,1930,4,15,272.12,78.49,13.44,206.53,78.6,4153.83,1098.23,5063,5063
198,1930-04-16,1930,4,16,244.3,67.27,15.08,183.27,83.97,4015.24,1033.44,4883,4883
199,1930-04-17,1930,4,17,302.96,64.91,15.74,194.88,96.06,3849.41,1201.26,4708,4708
200,1930-04-18,1930,4,18,293.28,61.37,15.74,229.9,103.45,3712.74,1231,4698,4698
201,1930-04-19,1930,4,19,318.68,70.81,14.43,206.53,97.41,3691.76,1140.72,4790,4791
202,1930-04-20,1930,4,20,275.14,64.91,14.75,206.53,81.28,3906.03,1018.57,4590,4591
203,1930-04-21,1930,4,21,255.19,80.26,14.1,206.53,76.58,3715.79,944.22,4239,4240
204,1930-04-22,1930,4,22,361.01,174.67,13.77,183.27,75.24,3763.44,898.55,4293,4293
205,1930-04-23,1930,4,23,299.33,161.1,13.44,161.13,72.55,3896.49,880.5,4387,4388
206,1930-04-24,1930,4,24,257.61,136.91,12.13,140.09,67.85,4541.46,822.08,4584,4584
207,1930-04-25,1930,4,25,244.3,110.94,11.8,130.11,65.83,4386.22,768.97,5061,5061
208,1930-04-26,1930,4,26,220.11,90.88,11.15,110.7,65.83,4007.7,738.17,4756,4756
209,1930-04-27,1930,4,27,197.74,78.49,11.15,120.15,63.82,3762.04,707.37,4420,4421
210,1930-04-28,1930,4,28,178.99,69.63,11.15,110.7,61.8,3331.98,684.01,4281,4282
211,1930-04-29,1930,4,29,168.71,61.37,11.15,101.28,61.8,3046.26,673.38,3874,3874
212,1930-04-30,1930,4,30,155.41,55.47,11.15,101.28,60.46,2780.97,670.2,3560,3561
213,1930-05-01,1930,5,1,244.91,80.26,10.82,94.32,60.46,2841.12,650.02,3526,3527
214,1930-05-02,1930,5,2,234.02,74.35,10.49,87.98,60.46,2774.59,623.46,3352,3352
215,1930-05-03,1930,5,3,186.85,67.27,10.49,76.69,59.79,2742.93,594.79,3180,3180
216,1930-05-04,1930,5,4,160.85,58.42,10.16,82.22,55.08,2823.71,556.55,3598,3598
217,1930-05-05,1930,5,5,148.15,51.34,9.51,76.69,53.07,2618,514.07,3256,3257
218,1930-05-06,1930,5,6,148.15,51.34,9.18,76.69,53.07,2510.52,505.57,3305,3306
219,1930-05-07,1930,5,7,180.81,48.39,8.85,76.69,51.73,2174.78,501.32,3106,3107
220,1930-05-08,1930,5,8,176.57,44.26,8.53,76.69,51.05,2258.55,480.08,2780,2780
221,1930-05-09,1930,5,9,148.15,38.95,7.87,82.22,48.37,2173.04,438.66,2864,2865
222,1930-05-10,1930,5,10,132.43,35.41,7.54,76.69,47.02,2150.17,404.67,2710,2710
223,1930-05-11,1930,5,11,120.94,33.64,7.54,66.87,45.68,2057.2,384.49,2592,2593
224,1930-05-12,1930,5,12,108.85,31.28,7.54,62.54,47.02,1829.81,366.43,2524,2525
225,1930-05-13,1930,5,13,102.8,29.51,7.21,62.54,46.35,1826.5,362.18,2431,2432
226,1930-05-14,1930,5,14,98.57,29.51,7.54,62.54,48.37,1677.2,370.68,2385,2385
227,1930-05-15,1930,5,15,101.59,29.51,8.2,82.22,62.47,1745.96,721.18,2478,2479
228,1930-05-16,1930,5,16,113.68,27.15,7.87,94.32,51.05,1766.42,679.76,2587,2587
229,1930-05-17,1930,5,17,110.06,24.19,7.54,76.69,45.68,1885.45,479.02,2397,2398
230,1930-05-18,1930,5,18,95.54,25.37,7.21,108.12,44.34,1758.92,416.35,2353,2354
231,1930-05-19,1930,5,19,160.85,29.51,7.87,94.32,47.02,1712.59,405.73,2350,2351
232,1930-05-20,1930,5,20,155.41,28.92,9.51,82.22,57.77,1883.01,457.77,2372,2372
233,1930-05-21,1930,5,21,119.73,24.19,7.21,76.69,47.02,1763.22,634.09,2472,2473
234,1930-05-22,1930,5,22,98.57,21.83,6.56,66.87,42.99,1644.04,371.74,2367,2368
235,1930-05-23,1930,5,23,84.05,20.06,6.56,60.24,40.98,1758.32,337.75,2203,2203
236,1930-05-24,1930,5,24,74.98,19.47,7.87,82.22,40.31,1684.15,310.14,2206,2207
237,1930-05-25,1930,5,25,74.98,18.88,7.54,335.66,46.35,1628.86,315.45,2177,2178
238,1930-05-26,1930,5,26,70.75,16.52,6.56,87.98,40.31,1521.69,305.89,2103,2104
239,1930-05-27,1930,5,27,62.89,15.34,5.9,57.66,37.62,1281.34,269.78,1945,1946
240,1930-05-28,1930,5,28,62.28,15.34,6.23,53.94,36.95,1220.64,264.47,1748,1749
241,1930-05-29,1930,5,29,60.47,15.34,5.9,50.43,36.28,1105.19,267.65,1689,1689
242,1930-05-30,1930,5,30,54.42,13.57,5.9,47.47,35.6,1367.28,259.16,1758,1758
243,1930-05-31,1930,5,31,49.59,12.98,5.57,48.2,34.26,1175.76,247.47,1662,1662
244,1930-06-01,1930,6,1,47.17,12.39,4.92,44.33,32.92,1149.06,227.29,1607,1609
245,1930-06-02,1930,6,2,42.33,10.62,4.92,33.26,32.24,1012.28,219.86,1526,1528
246,1930-06-03,1930,6,3,37.49,9.44,4.92,39.24,30.9,998.3,212.42,1448,1450
247,1930-06-04,1930,6,4,33.86,8.85,4.59,40.76,28.89,1021.51,199.68,1402,1403
248,1930-06-05,1930,6,5,32.65,8.26,4.26,34.51,27.54,902.13,188,1388,1390
249,1930-06-06,1930,6,6,29.03,8.26,4.26,32.06,24.18,881.29,192.24,1231,1232
250,1930-06-07,1930,6,7,29.03,8.26,5.25,34.51,32.24,1229.26,294.21,1227,1229
251,1930-06-08,1930,6,8,29.63,8.26,8.85,37.49,34.26,1040.38,309.08,1794,1796
252,1930-06-09,1930,6,9,39.31,14.16,6.56,46.4,42.99,955.11,363.24,1737,1739
253,1930-06-10,1930,6,10,628.9,91.47,6.23,50.43,38.29,1031.82,424.85,1635,1637
254,1930-06-11,1930,6,11,529.12,73.17,4.92,50.43,33.59,1055.22,483.26,1699,1700
255,1930-06-12,1930,6,12,220.11,47.21,4.26,47.47,30.23,993.8,322.88,1693,1694
256,1930-06-13,1930,6,13,142.71,33.05,4.26,44.33,28.89,2592.01,258.1,1594,1596
257,1930-06-14,1930,6,14,108.85,26.56,4.26,39.24,28.21,2812.77,228.36,3071,3072
258,1930-06-15,1930,6,15,87.08,20.06,4.26,32.53,26.87,2135.21,215.61,3292,3294
259,1930-06-16,1930,6,16,70.75,17.11,3.61,29.44,25.53,1623.13,194.37,2647,2649
260,1930-06-17,1930,6,17,66.52,16.52,4.92,37.49,53.07,1338.05,250.66,2519,2521
261,1930-06-18,1930,6,18,74.98,25.37,7.54,71.68,57.77,1227.99,699.94,2303,2305
262,1930-06-19,1930,6,19,65.31,17.7,3.93,66.32,36.28,1706.83,1388.19,2229,2231
263,1930-06-20,1930,6,20,52,13.57,3.61,63.6,28.21,1603.93,687.19,2691,2693
264,1930-06-21,1930,6,21,43.54,11.8,3.61,46.76,25.53,1528.06,342,2343,2345
265,1930-06-22,1930,6,22,39.91,10.62,3.61,37.21,24.86,1434.56,249.6,2137,2139
266,1930-06-23,1930,6,23,36.28,9.44,3.25,33.26,22.84,1245.19,219.86,2061,2063
267,1930-06-24,1930,6,24,33.26,9.44,3.61,28.27,25.53,1234.53,213.49,1767,1769
268,1930-06-25,1930,6,25,223.74,24.19,3.61,28.84,32.92,1184.44,485.39,1823,1825
269,1930-06-26,1930,6,26,117.92,13.57,2.82,27.53,26.2,1157.95,439.72,1864,1866
