date_time,gw_va_shen,p_va_shen,sw_va_shen,r_va_shen,gw_va_nova,p_va_nova,sw_va_nova,r_va_nova,gw_md_cent,p_md_cent,sw_md_cent,r_md_cent,gw_md_west,p_md_west,sw_md_west,r_md_west,region_md_cent,region_md_west
2038-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2038-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2038-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-04-29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2038-04-30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2038-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
